id,name
3,Linux
6,PC (Microsoft Windows)
7,PlayStation
8,PlayStation 2
9,PlayStation 3
19,Super Nintendo Entertainment System (SNES)
25,Amstrad CPC
27,MSX
39,iOS
44,Tapwave Zodiac
75,Apple II
80,Neo Geo AES
68,ColecoVision
74,Windows Phone
94,Commodore Plus/4
96,PDP-10
123,WonderSwan Color
129,Texas Instruments TI-99
133,Philips Videopac G7000
134,Acorn Electron
156,Thomson MO5
160,Nintendo eShop
163,SteamVR
11,Xbox
88,Odyssey
90,Commodore PET
144,AY-3-8710
64,Sega Master System
12,Xbox 360
146,AY-3-8605
14,Mac
15,Commodore C64/128
48,PlayStation 4
97,PDP-8
147,AY-3-8606
164,Daydream
51,Family Computer Disk System
165,PlayStation VR
115,Apple IIGS
118,FM Towns
67,Intellivision
71,Commodore VIC-20
120,Neo Geo Pocket Color
126,TRS-80
128,PC Engine SuperGrafx
135,Hyper Neo Geo 64
72,Ouya
91,Bally Astrocade
136,Neo Geo CD
142,PC-50X Family
4,Nintendo 64
